Position,ID,School
2,5965,Imperial Business School
3,6054,Warwick Business School
5,5974,Carnegie Mellon: Tepper
6,5978,University of North Carolina: Kenan-Flagler
8,5976,University of Porto – FEP | PBS
9,6006,Durham University Business School
10,6017,AGSM at UNSW Business School
11,6001,Polimi School of Management
14,6080,Birmingham Business School
