NAME,ID
Vrije Universiteit Amsterdam (VU),6127
Geneva Business School,6128
Zurich Elite Business School ZEBS,6129
University of Houston – Victoria,6130
Webster University Leiden Campus,6131
Berlin School of Business and Innovation (BSBI),6132
"Duke University, Fuqua School of Business",6133
City University of Hong Kong,6134
TRIUM Global EMBA,6135
Rennes School of Business,6136
Adolfo Ibáñez University,6239
George Mason University School of Business,14665
EHL Hospitality Business School,15639
The College of New Jersey,16552
Merrick School of Business,18128
NHH Norwegian School of Economics,18948
Clemson University,19580
TCU Neeley School of Business,21007
Rider University,21899
University of San Francisco -School of Management,21920
BMI Executive Institute,24425
Saunders College of Business at Rochester Institute of Technology,28676
Michigan State University Broad College of Business,28852
Webster Vienna Private University,28853
TBS Education,29016
Trinity College Dublin,30705
Newcastle University Business School,31790
Barcelona Executive Business School – BEBS,32321
Antai College of Economics and Management,32322
Brunel Business School,32410
emlyon Business School,32684
Glion Institute of Higher Education,35961
IMM Global Executive MBA,36034
Global Executive OneMBA,36036
MBATUBE FAVORITES,36037
Kellogg-WHU,36072
McGill-HEC Montréal,36153
McGill MBA Japan,36263
Touro University Worldwide,36288
Nelson Mandela University Business School,36289
Unicaf University,36290
University of East London,36291
Liverpool John Moores University,36292
University of Suffolk,36293
Burgundy School of Business,36304
Esden Business School,36319
ESLSCA University Egypt,38091
Nottingham University Business School (NUBS),40293
Toronto Metropolitan University,41129
NYU Stern School of Business,41187
"Strome College of Business, Old Dominion Univesity",41212
Tomorrow University of Applied Sciences,41350
"Wits Business School, University of the Witwatersrand, Johannesburg",41383
University of Chicago Booth School of Business,41390
The London School of Economics and Political Science (LSE),41432
Manchester Metropolitan University Business School,41442
UCLA Anderson School of Management,41581
London Metropolitan University,42090
Dublin City University,42247
École des Ponts Business School,43460
University of Exeter Business School,43524
Stanford Graduate School of Business,43611
University of Canterbury,43616
EBS Business School,43809
Charles Sturt University,44635
Kühne Logistics University,44728
London Interdisciplinary School,46009
Southampton Business School,46099
Universiti Utara Malaysia (UUM),46352
Audencia Business School,46422
UCL Global Business School for Health,46431
Universidad de Chile,46435
"University of Missouri, Trulaske College of Business",46483
"NC State University, Poole College of Management",46581
C3S Business School,46615
UCL Global Business School for Health,46625
Test,46626
EGADE Business School,46685
Milpark Business School,54963
Othman Yeop Abdullah Graduate School of Business,57417
